"1322777","U","","","U"
"7316603","M","0100","0700","M"
"7099123","M","0100","0700","M"
"7098862","M","0100","0700","M"
"7098009","M","0100","0700","M"
"7097769","M","0100","0700","M"
"7097397","M","0100","0700","M"
"7096917","M","0100","0700","M"
"7876784","M","0100","0700","M"
"7097349","M","0100","0700","M"
"7090677","M","0100","0700","M"
"7090658","M","0100","0700","M"
"7090507","M","0100","0700","M"
"7090405","M","0100","0700","M"
"7090379","M","0100","0700","M"
"7090033","M","0100","0700","M"
"7090022","M","0100","0700","M"
"7091412","M","0100","0700","M"
"7095857","M","0100","0700","M"
"7095668","M","0100","0700","M"
"7094412","M","0100","0700","M"
"7093488","M","0100","0700","M"
"7092545","M","0100","0700","M"
"7092445","M","0100","0700","M"
"7091858","M","0100","0700","M"
"7091512","M","0100","0700","M"
"5645866","M","0100","0700","M"
"5648309","M","0100","0700","M"
"5645126","M","0100","0700","M"
"5642820","M","0100","0700","M"
"1390000","M","0100","0700","M"
"1390040","M","0100","0700","M"
"1390041","M","0100","0700","M"
"1398129","M","0100","0700","M"
"1670041","M","0100","0700","M"
"1420193","M","0100","0700","M"
"1395033","M","0100","0700","M"
"1420406","M","0100","0700","M"
"2424419","M","0100","0700","M"
"2420018","M","0100","0700","M"
"2420016","M","0100","0700","M"
"2421359","M","0100","0700","M"
"2422310","M","0100","0700","M"
"2421738","M","0100","0700","M"
"2423562","M","0100","0700","M"
"2423148","M","0100","0700","M"
"2421263","M","0100","0700","M"
"2420558","M","0100","0700","M"
"2427189","M","0100","0700","M"
"3650097","M","0100","0700","M"
"3421377","M","0100","0700","M"
"2427074","M","0100","0700","M"
"3421721","M","0100","0700","M"
"3650107","M","0100","0700","M"
"7870041","M","0100","0900","M"
"7874375","M","0100","0900","M"
"7860017","M","0100","0900","M"
"7796704","M","0100","0900","M"
"5753038","M","0100","0900","M"
"5752091","M","0100","0900","M"
"9473436","M","0100","0900","M"
"5750079","M","0100","0900","M"
"5753622","M","0100","0900","M"
"8980629","M","0100","0900","M"
"5750045","M","0100","0900","M"
"5759344","M","0100","0900","M"
"5759091","M","0100","0900","M"
"5753874","M","0100","0900","M"
"5750017","M","0100","0900","M"
"5750009","M","0100","0900","M"
"5750007","M","0100","0900","M"
"6233788","M","0100","0900","M"
"8980183","M","0100","0900","M"
"5750018","M","0100","0900","M"
"2235729","M","0100","0900","M"
"1328924","M","0100","0900","M"
"1327557","M","0100","0900","M"
"2238492","M","0100","0900","M"
"1326013","M","0100","0900","M"
"1327578","M","0100","0900","M"
"1323795","M","0100","0900","M"
"1325312","M","0100","0900","M"
"1323552","M","0100","0900","M"
"1321903","M","0100","0900","M"
"1321981","M","0100","0900","M"
"1322527","M","0100","0900","M"
"2026697","M","0100","0900","M"
"2020133","M","0100","0900","M"
"1320047","M","0100","0900","M"
"2027594","M","0100","0900","M"
"3701001","M","0100","0900","M"
"2585008","M","0100","0900","M"
"2589379","M","0100","0900","M"
"2587602","M","0100","0900","M"
"2587306","M","0100","0900","M"
"2580487","M","0100","0900","M"
"2586939","M","0100","0900","M"
"5441234","M","0100","0900","M"
"2420014","M","0100","0500","M"
"8849331","M","0100","0500","M"
"6238355","M","0100","0500","M"
"6238139","M","0100","0500","M"
"6237437","M","0100","0500","M"
"8841442","M","0100","0500","M"
"8845770","M","0100","0500","M"
"8840012","M","0100","0500","M"
"8778304","M","0100","0500","M"
"7308103","M","0100","0500","M"
"7870781","M","0100","0500","M"
"6441907","M","0100","0500","M"
"6230909","M","0100","0500","M"
"6230038","M","0100","0500","M"
"6230000","M","0100","0500","M"
"6230019","M","0100","0500","M"
"8983723","M","0100","0500","M"
"6234782","M","0100","0500","M"
"6234571","M","0100","0500","M"
"6233880","M","0100","0500","M"
"6231002","M","0100","0500","M"
"6231938","M","0100","0500","M"
"1421399","M","0100","0500","M"
"1928128","M","0100","0500","M"
"1420596","M","0100","0500","M"
"1425312","M","0100","0500","M"
"1954534","M","0100","0500","M"
"2424238","M","0100","0500","M"
"2424375","M","0100","0500","M"
"1427899","M","0100","0500","M"
"2424605","M","0100","0500","M"
"2422366","M","0100","0500","M"
"1062088","M","0100","0500","M"
"2420088","M","0100","0500","M"
"2422829","M","0100","0500","M"
"1063598","M","0100","0500","M"
"1428475","M","0100","0500","M"
"1425594","M","0100","0500","M"
"1425953","M","0100","0500","M"
"2425860","M","0100","0500","M"
"3879160","M","0100","0500","M"
"2889302","M","0100","0500","M"
"4121215","M","0100","0500","M"
"3879054","M","0100","0500","M"
"3870058","M","0100","0500","M"
"3870075","M","0100","0500","M"
"3870960","M","0100","0500","M"
"3871783","M","0100","0500","M"
"2426932","M","0100","0500","M"
"3874106","M","0100","0500","M"
"3876993","M","0100","0500","M"
"3872517","M","0100","0500","M"
"3878726","M","0100","0500","M"
"3874409","M","0100","0500","M"
"7860020","M","0100","0600","M"
"5446734","M","0100","0600","M"
"2700013","M","0100","0600","M"
"7318052","M","0100","0600","M"
"7315828","M","0100","0600","M"
"7314899","M","0100","0600","M"
"7313022","M","0100","0600","M"
"7318327","M","0100","0600","M"
"7794285","M","0100","0600","M"
"7090002","M","0100","0600","M"
"6230018","M","0100","0600","M"
"1398747","M","0100","0600","M"
"2424119","M","0100","0600","M"
"2420057","M","0100","0600","M"
"2424071","M","0100","0600","M"
"2425934","M","0100","0600","M"
"2429966","M","0100","0600","M"
"2610356","M","0100","0600","M"
"7901328","M","0100","0800","M"
"7904101","M","0100","0800","M"
"6123852","M","0100","0800","M"
"2280317","M","0100","0800","M"
"2281903","M","0100","0800","M"
"2285876","M","0100","0800","M"
"2285171","M","0100","0800","M"
"2289767","M","0100","0800","M"
"1445362","M","0100","0800","M"
"2420012","M","0100","0800","M"
"2429547","M","0100","0800","M"
"3564791","M","0100","0800","M"
"3565799","M","0100","0800","M"
"3568092","M","0100","0800","M"
"3337854","M","0100","0800","M"
"7869631","M","0100","0100","M"
"7863891","M","0100","0100","M"
"8842922","M","0100","0100","M"
"7867250","M","0100","0100","M"
"7860010","M","0100","0100","M"
"1421594","M","0100","0100","M"
"1956754","M","0100","0100","M"
"5440010","M","0100","0100","M"
"5440029","M","0100","0100","M"
"5440009","M","0100","0100","M"
"5440005","M","0100","0100","M"
"8847970","M","0100","0100","M"
"8772029","M","0100","0100","M"
"8970010","M","0100","0100","M"
"6237141","M","0100","0100","M"
"8849012","M","0100","0100","M"
"8774925","M","0100","0100","M"
"8774581","M","0100","0100","M"
"8773150","M","0100","0100","M"
"8772970","M","0100","0100","M"
"8848921","M","0100","0100","M"
"8844286","M","0100","0100","M"
"8909366","M","0100","0100","M"
"8843558","M","0100","0100","M"
"8843192","M","0100","0100","M"
"8843044","M","0100","0100","M"
"8840391","M","0100","0100","M"
"8845949","M","0100","0100","M"
"8845945","M","0100","0100","M"
"8844853","M","0100","0100","M"
"8844755","M","0100","0100","M"
"8779459","M","0100","0100","M"
"8840011","M","0100","0100","M"
"8779110","M","0100","0100","M"
"7097239","M","0100","0100","M"
"7309942","M","0100","0100","M"
"7099280","M","0100","0100","M"
"7099158","M","0100","0100","M"
"7095665","M","0100","0100","M"
"7864322","M","0100","0100","M"
"7868583","M","0100","0100","M"
"7868133","M","0100","0100","M"
"7867888","M","0100","0100","M"
"7867679","M","0100","0100","M"
"7867596","M","0100","0100","M"
"7867128","M","0100","0100","M"
"7866175","M","0100","0100","M"
"7864699","M","0100","0100","M"
"7864339","M","0100","0100","M"
"7862814","M","0100","0100","M"
"7861081","M","0100","0100","M"
"7864361","M","0100","0100","M"
"7091133","M","0100","0100","M"
"7091451","M","0100","0100","M"
"6516487","M","0100","0100","M"
"6512538","M","0100","0100","M"
"7093520","M","0100","0100","M"
"7096755","M","0100","0100","M"
"7096169","M","0100","0100","M"
"7095955","M","0100","0100","M"
"7094271","M","0100","0100","M"
"8984477","M","0100","0100","M"
"8981703","M","0100","0100","M"
"8981107","M","0100","0100","M"
"8987683","M","0100","0100","M"
"8980919","M","0100","0100","M"
"9530280","M","0100","0100","M"
"9535852","M","0100","0100","M"
"8984780","M","0100","0100","M"
"8984830","M","0100","0100","M"
"8985190","M","0100","0100","M"
"5757538","M","0100","0100","M"
"5757234","M","0100","0100","M"
"8988660","M","0100","0100","M"
"8988687","M","0100","0100","M"
"1925288","M","0100","0100","M"
"1422729","M","0100","0100","M"
"1422366","M","0100","0100","M"
"1670243","M","0100","0100","M"
"1420018","M","0100","0100","M"
"1670342","M","0100","0100","M"
"1953249","M","0100","0100","M"
"1670759","M","0100","0100","M"
"1420005","M","0100","0100","M"
"1670741","M","0100","0100","M"
"1954483","M","0100","0100","M"
"1670728","M","0100","0100","M"
"1428075","M","0100","0100","M"
"1428056","M","0100","0100","M"
"1426876","M","0100","0100","M"
"2420154","M","0100","0100","M"
"1429867","M","0100","0100","M"
"1424413","M","0100","0100","M"
"1428606","M","0100","0100","M"
"1958110","M","0100","0100","M"
"2420451","M","0100","0100","M"
"1425990","M","0100","0100","M"
"2420465","M","0100","0100","M"
"1064830","M","0100","0100","M"
"1426138","M","0100","0100","M"
"1425928","M","0100","0100","M"
"1067171","M","0100","0100","M"
"1425528","M","0100","0100","M"
"2801849","M","0100","0100","M"
"2804608","M","0100","0100","M"
"2428914","M","0100","0100","M"
"2429013","M","0100","0100","M"
"2429163","M","0100","0100","M"
"5443085","M","0100","0100","M"
"3871142","M","0100","0100","M"
"5447724","M","0100","0100","M"
"3875244","M","0100","0100","M"
"5443785","M","0100","0100","M"
"2429518","M","0100","0100","M"
"5440035","M","0100","0100","M"
"5448616","M","0100","0100","M"
"3874980","M","0100","0100","M"
"6650989","M","0100","1000","M"
"6650934","M","0100","1000","M"
"9226851","M","0100","1000","M"
"5753133","M","0100","1000","M"
"5752376","M","0100","1000","M"
"9222343","M","0100","1000","M"
"5750010","M","0100","1000","M"
"5750040","M","0100","1000","M"
"1322775","M","0100","1000","M"
"2423638","M","0100","1000","M"
"2425371","M","0100","1000","M"
"2426886","M","0100","1000","M"
"5570028","M","0100","1000","M"
"8840002","M","0100","0300","M"
"7093934","M","0100","0300","M"
"8840001","M","0100","0300","M"
"8840007","M","0100","0300","M"
"7860029","M","0100","0300","M"
"7860018","M","0100","0300","M"
"7098088","M","0100","0300","M"
"8846340","M","0100","0300","M"
"7096768","M","0100","0300","M"
"6237419","M","0100","0300","M"
"8844357","M","0100","0300","M"
"7865285","M","0100","0300","M"
"7862255","M","0100","0300","M"
"7861584","M","0100","0300","M"
"7861744","M","0100","0300","M"
"7097499","M","0100","0300","M"
"7861926","M","0100","0300","M"
"8848548","M","0100","0300","M"
"7094491","M","0100","0300","M"
"7094513","M","0100","0300","M"
"7098485","M","0100","0300","M"
"7864584","M","0100","0300","M"
"7901043","M","0100","0300","M"
"8842812","M","0100","0300","M"
"8841540","M","0100","0300","M"
"7863937","M","0100","0300","M"
"7900012","M","0100","0300","M"
"7860002","M","0100","0300","M"
"2362130","M","0100","0300","M"
"1071549","M","0100","0300","M"
"1424263","M","0100","0300","M"
"2366298","M","0100","0300","M"
"1077363","M","0100","0300","M"
"2362655","M","0100","0300","M"
"1424374","M","0100","0300","M"
"2421471","M","0100","0300","M"
"2420103","M","0100","0300","M"
"1429765","M","0100","0300","M"
"1429584","M","0100","0300","M"
"2423462","M","0100","0300","M"
"2286724","M","0100","0300","M"
"1428309","M","0100","0300","M"
"1428209","M","0100","0300","M"
"1427629","M","0100","0300","M"
"1426902","M","0100","0300","M"
"3872665","M","0100","0300","M"
"3877533","M","0100","0300","M"
"3359317","M","0100","0300","M"
"3878390","M","0100","0300","M"
"3871665","M","0100","0300","M"
"8772226","M","0100","0300","M"
"8840013","M","0100","0300","M"
"8847373","M","0100","0300","M"
"8842674","M","0100","0300","M"
"8841664","M","0100","0300","M"
"8846314","M","0100","0300","M"
"8844671","M","0100","0300","M"
"8840000","M","0100","0300","M"
"8844585","M","0100","0300","M"
"8844413","M","0100","0300","M"
"8840004","M","0100","0300","M"
"8840005","M","0100","0300","M"
"8840006","M","0100","0300","M"
"7310043","M","0100","0300","M"
"7300747","M","0100","0300","M"
"7099274","M","0100","0300","M"
"7098467","M","0100","0300","M"
"7860027","M","0100","0300","M"
"7090877","M","0100","0300","M"
"6448830","M","0100","0300","M"
"6447865","M","0100","0300","M"
"6445793","M","0100","0300","M"
"6444361","M","0100","0300","M"
"6441445","M","0100","0300","M"
"8771621","M","0100","0300","M"
"7096524","M","0100","0300","M"
"7096427","M","0100","0300","M"
"7091324","M","0100","0300","M"
"7093067","M","0100","0300","M"
"7092309","M","0100","0300","M"
"8845968","M","0100","0300","M"
"8977501","M","0100","0300","M"
"8980202","M","0100","0300","M"
"8980203","M","0100","0300","M"
"1421667","M","0100","0300","M"
"2240003","M","0100","0300","M"
"1920093","M","0100","0300","M"
"2240004","M","0100","0300","M"
"2240002","M","0100","0300","M"
"1074146","M","0100","0300","M"
"2240001","M","0100","0300","M"
"1392235","M","0100","0300","M"
"1420873","M","0100","0300","M"
"1420736","M","0100","0300","M"
"1954700","M","0100","0300","M"
"2217910","M","0100","0300","M"
"2420153","M","0100","0300","M"
"2421465","M","0100","0300","M"
"2420170","M","0100","0300","M"
"2422203","M","0100","0300","M"
"1429468","M","0100","0300","M"
"1017093","M","0100","0300","M"
"2423192","M","0100","0300","M"
"2423261","M","0100","0300","M"
"2421577","M","0100","0300","M"
"2423868","M","0100","0300","M"
"2423990","M","0100","0300","M"
"2424739","M","0100","0300","M"
"1425931","M","0100","0300","M"
"1426594","M","0100","0300","M"
"2429401","M","0100","0300","M"
"2429452","M","0100","0300","M"
"2429953","M","0100","0300","M"
"2428048","M","0100","0300","M"
"2880009","M","0100","0300","M"
"2428557","M","0900","0500","M"
"2429076","M","0100","0300","M"
"3879544","M","0100","0300","M"
"2427386","M","0100","0300","M"
"3870816","M","0100","0300","M"
"2427234","M","0100","0300","M"
"5441113","M","0100","0300","M"
"3168193","M","0100","0300","M"
"3876454","M","0100","0300","M"
"5448350","M","0100","0300","M"
"5446698","M","0100","0300","M"
"2427615","M","0100","0300","M"
"2427423","M","0100","0300","M"
"3876853","M","0100","0300","M"
"3876575","M","0100","0300","M"
"3876327","M","0100","0300","M"
"3872646","M","0100","0300","M"
"5441381","M","0100","0300","M"
"5446654","M","0100","0300","M"
"8980222","M","0100","0400","M"
"8843989","M","0100","0400","M"
"9221628","M","0100","0400","M"
"2288445","M","0100","0400","M"
"2289787","M","0100","0400","M"
"2289257","M","0100","0400","M"
"2280708","M","0100","0400","M"
"5441377","M","0100","0400","M"
"8845041","M","0100","0400","M"
"8840919","M","0100","0400","M"
"7903507","M","0100","0400","M"
"7869800","M","0100","0400","M"
"7860733","M","0100","0400","M"
"8097206","M","0100","0400","M"
"6230020","M","0100","0400","M"
"6230023","M","0100","0400","M"
"8975877","M","0100","0400","M"
"8976931","M","0100","0400","M"
"8973695","M","0100","0400","M"
"8977540","M","0100","0400","M"
"6232061","M","0100","0400","M"
"8979722","M","0100","0400","M"
"8979707","M","0100","0400","M"
"2288021","M","0100","0400","M"
"2282867","M","0100","0400","M"
"2280556","M","0100","0400","M"
"2280466","M","0100","0400","M"
"2285774","M","0100","0400","M"
"2288671","M","0100","0400","M"
"2289070","M","0100","0400","M"
"2022548","M","0100","0400","M"
"2026637","M","0100","0400","M"
"2423155","M","0100","0400","M"
"2029965","M","0100","0400","M"
"2028142","M","0100","0400","M"
"2429297","M","0100","0400","M"
"2427387","M","0100","0400","M"
"3871682","M","0100","0200","M"
"6529456","M","0200","0400","M"
"5575493","M","0200","0400","M"
"5575976","M","0200","0400","M"
"9451936","M","0200","0400","M"
"8888184","M","0200","0400","M"
"1253121","M","0200","0400","M"
"1824669","M","0200","0400","M"
"1255888","M","0200","0400","M"
"2504862","M","0200","0400","M"
"5571842","M","0200","0400","M"
"5570389","M","0200","0400","M"
"5572818","M","0200","0400","M"
"5571333","M","0200","0400","M"
"8080109","M","0200","0600","M"
"8091806","M","0200","0600","M"
"8099413","M","0200","0600","M"
"6655445","M","0200","0600","M"
"8097785","M","0200","0600","M"
"8094860","M","0200","0600","M"
"5750022","M","0200","0600","M"
"5750047","M","0200","0600","M"
"1005441","M","0200","0600","M"
"1005472","M","0200","0600","M"
"2282260","M","0200","0600","M"
"1027065","M","0200","0600","M"
"1013699","M","0200","0600","M"
"1017890","M","0200","0600","M"
"1014881","M","0200","0600","M"
"4120102","M","0200","0600","M"
"4128098","M","0200","0600","M"
"2884346","M","0200","0600","M"
"4120100","M","0200","0600","M"
"4121340","M","0200","0600","M"
"4120087","M","0200","0600","M"
"4120013","M","0200","0600","M"
"4120014","M","0200","0600","M"
"4120004","M","0200","0600","M"
"4120006","M","0200","0600","M"
"2889367","M","0200","0600","M"
"4120005","M","0200","0600","M"
"5142836","M","0200","0600","M"
"5142120","M","0200","0600","M"
"5140479","M","0200","0600","M"
"5140267","M","0200","0600","M"
"4120099","M","0200","0600","M"
"5149392","M","0200","0600","M"
"5147342","M","0200","0600","M"
"5146950","M","0200","0600","M"
"5146058","M","0200","0600","M"
"5145285","M","0200","0600","M"
"5145061","M","0200","0600","M"
"8091039","M","0200","9900","M"
"8092250","M","0200","9900","M"
"6653053","M","0200","9900","M"
"8099343","M","0200","9900","M"
"8093783","M","0200","9900","M"
"8097682","M","0200","9900","M"
"8095711","M","0200","9900","M"
"8095529","M","0200","9900","M"
"8094665","M","0200","9900","M"
"7875819","M","0200","9900","M"
"7870927","M","0200","9900","M"
"7870423","M","0200","9900","M"
"7876848","M","0200","9900","M"
"5758576","M","0200","9900","M"
"8985845","M","0200","9900","M"
"7878786","M","0200","9900","M"
"5753137","M","0200","9900","M"
"5753317","M","0200","9900","M"
"5753525","M","0200","9900","M"
"8778279","M","0200","9900","M"
"8772513","M","0200","9900","M"
"1828237","M","0200","9900","M"
"1250005","M","0200","9900","M"
"1250004","M","0200","9900","M"
"2421473","M","0200","9900","M"
"2309118","M","0200","9900","M"
"2302137","M","0200","9900","M"
"1327650","M","0200","9900","M"
"1256402","M","0200","9900","M"
"2025334","M","0200","9900","M"
"2024101","M","0200","9900","M"
"2420003","M","0200","9900","M"
"2420041","M","0200","9900","M"
"1322194","M","0200","9900","M"
"1250003","M","0200","9900","M"
"1250002","M","0200","9900","M"
"4125773","M","0200","9900","M"
"2558205","M","0200","9900","M"
"2552778","M","0200","9900","M"
"3858923","M","0200","9900","M"
"3857669","M","0200","9900","M"
"3857145","M","0200","9900","M"
"3851970","M","0200","9900","M"
"3851046","M","0200","9900","M"
"3850672","M","0200","9900","M"
"5141031","M","0200","9900","M"
"5140007","M","0200","9900","M"
"5147184","M","0200","9900","M"
"5142934","M","0200","9900","M"
"5145266","M","0200","9900","M"
"5144180","M","0200","9900","M"
"2427705","M","0200","9900","M"
"4750012","M","0200","9900","M"
"2429506","M","0200","9900","M"
"7874724","M","0200","0700","M"
"5755491","M","0200","0700","M"
"5758806","M","0200","0700","M"
"5759612","M","0200","0700","M"
"5758234","M","0200","0700","M"
"5751767","M","0200","0700","M"
"5750239","M","0200","0700","M"
"8882884","M","0200","0700","M"
"8880125","M","0200","0700","M"
"8889871","M","0200","0700","M"
"1980001","M","0200","0700","M"
"1252902","M","0200","0700","M"
"1252554","M","0200","0700","M"
"1253405","M","0200","0700","M"
"1259385","M","0200","0700","M"
"1256580","M","0200","0700","M"
"1135918","M","0200","0700","M"
"1256498","M","0200","0700","M"
"1257606","M","0200","0700","M"
"1255901","M","0200","0700","M"
"1254430","M","0200","0700","M"
"1259338","M","0200","0700","M"
"1259194","M","0200","0700","M"
"1254093","M","0200","0700","M"
"1259125","M","0200","0700","M"
"1258953","M","0200","0700","M"
"1258860","M","0200","0700","M"
"2500003","M","0200","0700","M"
"2500002","M","0200","0700","M"
"2501015","M","0200","0700","M"
"2501273","M","0200","0700","M"
"2502726","M","0200","0700","M"
"2505521","M","0200","0700","M"
"2506741","M","0200","0700","M"
"2880150","M","0200","0700","M"
"2880016","M","0200","0700","M"
"2880017","M","0200","0700","M"
"2706307","M","0200","0700","M"
"2550051","M","0200","0700","M"
"2555996","M","0200","0700","M"
"8770437","M","0200","0200","M"
"8092063","M","0200","0200","M"
"8098548","M","0200","0200","M"
